                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    119,                0.27222,                0.35959,                0.79197,                0.98164,                0.99103,                  0.995,                0.99474,                0.07436,                0.12285,                0.75191,               0.002212,               0.002212,               0.002212
                    120,                0.27508,                 0.3569,                0.79291,                0.98164,                0.99124,                  0.995,                0.99474,                0.07409,                0.12281,                0.75193,               0.002146,               0.002146,               0.002146
                    121,                0.26907,                0.35217,                0.79077,                0.98165,                0.99133,                  0.995,                  0.995,                0.07369,                0.12321,                 0.7519,                0.00208,                0.00208,                0.00208
                    122,                0.26941,                 0.3472,                0.79111,                0.98164,                0.99139,                  0.995,                  0.995,                0.07339,                0.12195,                0.75186,               0.002014,               0.002014,               0.002014
                    123,                0.27006,                0.34996,                0.79239,                0.98163,                0.99166,                  0.995,                  0.995,                0.07317,                0.12257,                0.75183,               0.001948,               0.001948,               0.001948
                    124,                0.27241,                0.35251,                0.79272,                0.98164,                0.99178,                  0.995,                  0.995,                0.07291,                0.12212,                0.75185,               0.001882,               0.001882,               0.001882
                    125,                0.26513,                0.34891,                0.79128,                0.98189,                0.99175,                  0.995,                  0.995,                0.07274,                 0.1221,                0.75174,               0.001816,               0.001816,               0.001816
                    126,                0.26352,                 0.3534,                 0.7922,                0.98188,                0.99201,                  0.995,                  0.995,                0.07276,                0.12115,                0.75178,                0.00175,                0.00175,                0.00175
                    127,                0.26215,                0.33861,                0.78868,                0.98188,                0.99203,                  0.995,                  0.995,                0.07273,                0.12079,                0.75175,               0.001684,               0.001684,               0.001684
                    128,                 0.2697,                0.34898,                0.79443,                0.98188,                0.99213,                  0.995,                  0.995,                 0.0725,                0.11951,                0.75179,               0.001618,               0.001618,               0.001618
                    129,                0.25655,                0.32917,                0.78975,                0.98185,                0.99226,                  0.995,                  0.995,                0.07254,                0.12056,                0.75172,               0.001552,               0.001552,               0.001552
                    130,                 0.2656,                0.34187,                0.79228,                0.98183,                0.99226,                  0.995,                  0.995,                0.07199,                0.12088,                0.75172,               0.001486,               0.001486,               0.001486
                    131,                0.26403,                0.33359,                0.79049,                0.98178,                0.99227,                  0.995,                  0.995,                0.07173,                0.12046,                0.75172,                0.00142,                0.00142,                0.00142
                    132,                 0.2612,                0.34429,                0.79176,                0.98177,                 0.9922,                  0.995,                  0.995,                0.07181,                0.12058,                0.75172,               0.001354,               0.001354,               0.001354
                    133,                0.25299,                0.33419,                0.78968,                0.98177,                0.99217,                  0.995,                  0.995,                0.07158,                0.11983,                0.75162,               0.001288,               0.001288,               0.001288
                    134,                0.26528,                0.33807,                0.79487,                0.98176,                0.99218,                  0.995,                  0.995,                0.07127,                0.11952,                0.75161,               0.001222,               0.001222,               0.001222
                    135,                0.25715,                0.32988,                0.79115,                0.98177,                0.99221,                  0.995,                  0.995,                0.07113,                0.11951,                0.75162,               0.001156,               0.001156,               0.001156
                    136,                0.24794,                0.32793,                0.78969,                0.98181,                0.99239,                  0.995,                  0.995,                0.07133,                0.11849,                0.75157,                0.00109,                0.00109,                0.00109
                    137,                0.25604,                0.32372,                0.79131,                0.98184,                0.99243,                  0.995,                  0.995,                0.07132,                0.11954,                0.75155,               0.001024,               0.001024,               0.001024
                    138,                0.24844,                0.32459,                0.78659,                0.98188,                0.99238,                  0.995,                  0.995,                0.07133,                0.11893,                0.75149,               0.000958,               0.000958,               0.000958
                    139,                0.25424,                0.32784,                0.78785,                0.98189,                 0.9924,                  0.995,                  0.995,                0.07112,                0.11857,                0.75153,               0.000892,               0.000892,               0.000892
